date,month_idx,portfolio,total_contributed,held,spy_dca,sixty_forty
2019-02-01,0,97.70998511612133,100.0,GLD,103.27784317975481,101.97904115288262
2019-03-05,1,197.75045506408276,200.0,GLD,209.4513618729444,207.08331787533083
2019-04-03,2,309.4931438204211,300.0,QQQ,317.60098546855477,312.10257883047313
2019-05-03,3,423.196255273082,400.0,IEF,397.95614329929913,405.734010853897
2019-06-04,4,523.1439356475547,500.0,cash,532.7551025654102,529.7566861264635
2019-07-03,5,609.41955692685,600.0,QQQ,619.4740522363353,624.1479937604497
2019-08-02,6,703.2337114190743,700.0,SPY,713.261949073288,728.5484720942954
2019-09-03,7,803.1533880479325,800.0,cash,809.0682729354997,823.2784455395899
2019-10-02,8,910.2319825846738,900.0,GLD,956.7632372658637,950.2008102368047
2019-10-31,9,976.9238933568971,1000.0,GLD,1085.5004350479328,1063.0505303417444
2019-12-02,10,1124.7727901815917,1100.0,GLD,1241.5851830802383,1196.1288444753436
2020-01-02,11,1261.7862406261117,1200.0,GLD,1337.7035201573178,1307.9929371210783
2020-02-03,12,1328.3854826163977,1300.0,QQQ,1381.3420685181661,1395.5618127140349
2020-03-04,13,1399.7590498399154,1400.0,GLD,1158.8556025854748,1320.8691776250892
2020-04-02,14,1580.4255194960251,1500.0,GLD,1409.5022294146443,1511.2243325769405
2020-05-04,15,1846.6390747400112,1600.0,SPY,1658.9643980773508,1696.4304736462693
2020-06-03,16,1962.07116210649,1700.0,IEF,1760.7450847411178,1803.4442824688474
2020-07-02,17,2169.564134601397,1800.0,SPY,1957.928473481356,1968.3269891277512
2020-08-03,18,2523.134919692621,1900.0,QQQ,2206.0837026220793,2152.1986236858697
2020-09-01,19,2530.7210338668147,2000.0,GLD,2207.7530123216206,2193.663216049323
2020-10-01,20,2592.239667520198,2100.0,GLD,2231.934815817874,2235.050620996553
2020-10-30,21,2594.8682443663097,2200.0,GLD,2610.466868463551,2500.2224827753103
2020-12-01,22,2822.6172429738076,2300.0,GLD,2779.6885506771728,2644.595738835685
2020-12-31,23,3045.1848733385496,2400.0,QQQ,2935.0926541614876,2765.3749526503393
2021-02-02,24,3101.7640219972727,2500.0,SPY,2993.4811671788216,2807.0228809146147
2021-03-04,25,3479.0015015503272,2600.0,QQQ,3345.0614461254618,3044.3643928699994
2021-04-05,26,3566.1863460085233,2700.0,QQQ,3522.288525324603,3202.950225524489
2021-05-04,27,3664.315612021826,2800.0,IEF,3647.051285997622,3317.3404089855694
2021-06-03,28,3588.9292772124163,2900.0,GLD,3892.131326148403,3521.539369919422
2021-07-02,29,3688.560384284695,3000.0,cash,4058.417833525105,3687.6813817977354
2021-08-03,30,3928.6007016578437,3100.0,QQQ,4257.643735935467,3836.620788623639
2021-09-01,31,3881.0122741274376,3200.0,SPY,4198.410971952566,3824.5560260526004
2021-10-01,32,4215.393659626715,3300.0,SPY,4551.479993232007,4064.775000621263
2021-11-01,33,4314.962120260752,3400.0,cash,4551.698119859842,4122.264423614197
2021-12-01,34,4665.129623079262,3500.0,SPY,4915.760938360157,4370.380701212086
2021-12-31,35,4362.852540425142,3600.0,QQQ,4776.566210134865,4293.795286525698
2022-02-01,36,4447.74833406534,3700.0,IEF,4681.056099183684,4271.663683963496
2022-03-03,37,4731.604307746932,3800.0,SPY,4974.831297730243,4418.524155857671
2022-04-01,38,4234.643472510068,3900.0,QQQ,4653.081037561726,4203.01411764278
2022-05-03,39,4242.558659513317,4000.0,QQQ,4744.979882731928,4309.674754702103
2022-06-02,40,4382.20888954079,4100.0,IEF,4436.91991279714,4178.706846156016
2022-07-05,41,4855.036691062074,4200.0,SPY,4914.77919486925,4521.716389714771
2022-08-03,42,4582.461792229515,4300.0,QQQ,4789.182039032889,4417.470732798653
2022-09-01,43,4268.548347612064,4400.0,QQQ,4526.972584303126,4254.093711379083
2022-10-03,44,4375.124821364547,4500.0,QQQ,4839.15654416703,4439.396907380353
2022-11-01,45,4726.374011877148,4600.0,SPY,5216.969237282118,4780.284780043635
2022-12-01,46,4914.11524703138,4700.0,GLD,4986.19293737248,4650.967619378139
2023-01-03,47,5480.081984597913,4800.0,SPY,5559.402937671084,5093.216979122535
2023-02-02,48,5410.434464737779,4900.0,SPY,5487.344013479711,5008.712534054699
2023-03-06,49,5509.883421291305,5000.0,cash,5659.390920618101,5247.134700486889
2023-04-04,50,5631.698850334615,5100.0,IEF,5705.999128555803,5322.64108333275
2023-05-04,51,5477.59009515695,5200.0,GLD,6116.498507277341,5556.094049763228
2023-06-05,52,5577.032336147435,5300.0,cash,6420.434648186175,5731.358908178562
2023-07-06,53,5766.758944366616,5400.0,SPY,6624.1436514851675,5904.7141856730805
2023-08-04,54,5895.342784600278,5500.0,SPY,6756.906283340326,5994.886723311617
2023-09-05,55,5683.75518790989,5600.0,SPY,6500.543209795157,5822.521441098134
2023-10-04,56,5783.176812391099,5700.0,cash,6689.015960557572,5991.034182339032
2023-11-02,57,6072.186557122768,5800.0,IEF,7194.333323552228,6399.249278909944
2023-12-04,58,6337.673865894348,5900.0,SPY,7490.6461811775225,6668.840019585631
2024-01-04,59,6374.817429662749,6000.0,GLD,7996.403920149407,6992.697615045712
2024-02-05,60,6696.397305935791,6100.0,SPY,8374.304485489103,7273.7372448025235
2024-03-06,61,7348.550888970832,6200.0,GLD,8641.69299927209,7435.578874818821
2024-04-05,62,7441.576953639931,6300.0,GLD,8703.431770929814,7504.09068267635
2024-05-06,63,7624.652990517351,6400.0,GLD,9108.953349682104,7830.182315582611
2024-06-05,64,7762.872699626012,6500.0,IEF,9593.272118737934,8172.909669885925
2024-07-08,65,7943.94712346435,6600.0,GLD,9100.478124574232,7995.143017618978
2024-08-06,66,8419.188682241813,6700.0,QQQ,9674.64075113129,8421.848994449096
2024-09-05,67,8390.001478323806,6800.0,IEF,10215.637232828472,8746.412225869386
2024-10-04,68,8438.171884548801,6900.0,SPY,10253.677962707787,8753.615034271686
2024-11-04,69,8246.033695488513,7000.0,GLD,11034.626495804137,9292.547243980469
2024-12-04,70,8288.477028758609,7100.0,GLD,10935.845532578349,9203.9915955094
2025-01-06,71,8535.961706741302,7200.0,SPY,11230.988685318665,9463.915163630207
2025-02-06,72,7973.298510338733,7300.0,SPY,10461.530881629053,9097.131612056772
2025-03-10,73,8340.83521376987,7400.0,GLD,9341.423567562395,8469.906721619716
2025-04-08,74,9304.461728703816,7500.0,GLD,10666.487272405895,9293.862346317454
2025-05-08,75,9968.899651278292,7600.0,SPY,11413.802160023937,9772.629963155332
2025-06-09,76,10215.241738477078,7700.0,IEF,12046.0348220254,10235.350324677795
2025-07-10,77,10314.21021430323,7800.0,cash,12361.279306118313,10494.004679000936
2025-08-08,78,11102.854416836934,7900.0,GLD,12714.123232186144,10803.84191774182
2025-09-09,79,12473.95664577053,8000.0,GLD,13297.300990957607,11187.763754870919
2025-10-08,80,12302.602770584603,8100.0,GLD,13328.955901859958,11265.816163092239
2025-11-06,81,13044.15675961395,8200.0,GLD,13685.788273015072,11516.486818735095
2025-12-08,82,14004.394556117482,8300.0,GLD,13940.755104153975,11717.384382074444
2026-01-08,83,14183.9883181393,8400.0,SPY,14121.39181948044,11873.127007862558
2026-02-09,84,14114.30718613002,8500.0,QQQ,13853.103844855937,11758.514141103342
2026-03-11,85,12975.800495587226,8600.0,GLD,14034.014605266308,11891.497169111277
2026-04-10,86,12905.945915194292,8700.0,GLD,15325.035940698817,12705.179287820738
